state	year	agency	scode	area	po-total	ps-popgw	ps-popsw	ps-popto	ps-wgwfr	ps-wswfr	ps-wtofr	ps-wgwsa	ps-wswsa	ps-wsato	ps-total	ps-loss	ps-deliv	ps-prcap	ps-facil	ps-facdb	co-wgwfr	co-wswfr	co-wtotl	co-psdel	co-total	co-cuse	do-sspop	do-ssgwf	do-ssswf	do-sstot	do-sspcp	do-pspop	do-psdel	do-pspcp	do-total	do-cuse	in-wgwfr	in-wgwsa	in-wgwto	in-wswfr	in-wswsa	in-wswto	in-wtofr	in-wtosa	in-wtotl	in-recww	in-psdel	in-total	in-cufr	in-cusal	in-cuse	in-facil	in-facdb	pt-wgwfr	pt-wswfr	pt-wswsa	pt-wswto	pt-frtot	pt-wtotl	pt-psdel	pt-total	pt-cufr	pt-cusal	pt-cuse	pt-power	pt-facil	pt-facdb	pf-wgwfr	pf-wswfr	pf-wswsa	pf-wswto	pf-frtot	pf-wtotl	pf-psdel	pf-total	pf-cufr	pf-cusal	pf-cuse	pf-power	pf-facil	pf-facdb	pg-wgwfr	pg-wgwsa	pg-wtotl	pg-cufr	pg-cusal	pg-power	pg-facil	pg-facdb	pn-wgwfr	pn-wswfr	pn-wswsa	pn-wswto	pn-frtot	pn-wtotl	pn-psdel	pn-total	pn-cufr	pn-cusal	pn-cuse	pn-power	pn-facil	pn-facdb	mi-wgwfr	mi-wgwsa	mi-gwtot	mi-wswfr	mi-wswsa	mi-swtot	mi-frtot	mi-satot	mi-total	mi-cufr	mi-cusal	mi-cuse	ls-gwtot	ls-swtot	ls-total	ls-cuse	la-gwtot	la-swtot	la-total	la-cuse	lv-gwtot	lv-swtot	lv-total	lv-cuse	ir-wgwfr	ir-wswfr	ir-recww	ir-frtot	ir-spray	ir-flood	ir-irrig	ir-convy	ir-cuse	hy-total	hy-power	hy-facil	hy-facdb	ww-facpu	ww-facot	ww-facil	ww-retrn	ww-facdb	ww-recww	re-evap	re-area	to-gwfr	to-gwsal	to-gwtot	to-swfr	to-swsal	to-swtot	to-frtot	to-satot	to-total	to-recww	to-cufr	to-cusal	to-cuse	to-convy
ID	1985	USGS	16	047	12.30	6.14	0.00	6.14	1.33	0.00	1.33	0.00	0.00	0.00	1.33	0.00	1.33	216.58	0.00	0.00	0.15	0.00	0.15	0.12	0.27	0.00	6.16	1.24	0.00	1.24	201.27	6.14	1.21	197.04	2.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	121.92	0.00	121.92	0.00	0.00	0.00	0.00	0.00	121.92	0.00	121.92	0.00	158.63	543.56	0.00	702.19	73.30	53.40	126.70	202.37	190.20	15911.37	1143.84	0.00	0.00	1.00	7.00	8.00	0.37	0.00	0.00	0.00	0.00	283.27	0.00	283.27	543.56	0.00	543.56	826.83	0.00	826.83	0.00	190.20	0.00	190.20	202.37
ID	1985	USGS	16	049	14.40	7.49	0.58	8.07	1.08	0.08	1.16	0.00	0.00	0.00	1.16	0.00	1.16	143.72	0.00	0.00	0.31	0.00	0.31	0.00	0.31	0.00	6.33	0.87	0.06	0.93	146.90	8.07	1.16	143.72	2.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.82	0.00	5.82	2.33	0.00	0.00	0.00	0.00	5.82	0.00	5.82	2.33	0.00	24.16	0.00	24.16	3.00	0.00	3.00	9.00	4.93	0.00	0.00	0.00	0.00	6.00	1.00	7.00	0.95	0.00	0.00	0.00	0.00	8.08	0.00	8.08	24.30	0.00	24.30	32.38	0.00	32.38	0.00	7.26	0.00	7.26	9.00
ID	1985	USGS	16	051	16.40	5.10	0.00	5.10	1.82	0.00	1.82	0.00	0.00	0.00	1.82	0.00	1.82	356.79	0.00	0.00	0.36	0.00	0.36	0.00	0.36	0.00	11.30	4.00	0.00	4.00	353.95	5.10	1.82	356.79	5.82	0.03	1.10	0.00	1.10	0.00	0.00	0.00	1.10	0.00	1.10	0.00	0.00	1.10	0.03	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	366.84	501.79	0.00	868.63	88.70	159.90	248.60	186.81	285.78	0.00	0.00	0.00	0.00	1.00	1.00	2.00	0.04	0.00	0.00	0.00	0.00	374.12	0.00	374.12	501.79	0.00	501.79	875.91	0.00	875.91	0.00	285.84	0.00	285.84	186.81
ID	1985	USGS	16	053	15.60	9.26	0.00	9.26	1.83	0.00	1.83	0.00	0.00	0.00	1.83	0.00	1.83	197.60	0.00	0.00	0.28	0.00	0.28	0.07	0.35	0.00	6.34	1.26	0.00	1.26	198.71	9.26	1.76	190.04	3.02	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	141.11	856.56	0.00	997.67	123.20	49.70	172.90	318.90	245.29	248.03	48.57	0.00	0.00	1.00	0.00	1.00	0.62	0.00	0.00	0.00	0.00	144.48	0.00	144.48	856.56	0.00	856.56	1001.04	0.00	1001.04	0.00	245.33	0.00	245.33	318.90
ID	1985	USGS	16	055	67.20	55.58	6.39	61.97	17.62	1.94	19.56	0.00	0.00	0.00	19.56	0.00	19.56	315.63	0.00	0.00	0.80	0.00	0.80	0.68	1.48	0.00	5.23	0.91	0.10	1.01	193.08	61.97	18.88	304.66	19.89	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.57	0.00	2.57	2.57	0.00	2.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	49.28	21.97	0.00	71.25	4.00	22.00	26.00	8.18	29.12	1608.68	78.00	0.00	0.00	3.00	3.00	6.00	3.97	0.00	0.00	0.00	0.00	68.61	0.00	68.61	26.58	0.00	26.58	95.19	0.00	95.19	0.00	29.23	0.00	29.23	8.18
ID	1985	USGS	16	057	30.50	26.02	1.16	27.18	3.68	0.15	3.83	0.00	0.00	0.00	3.83	0.00	3.83	140.91	0.00	0.00	0.55	0.00	0.55	0.12	0.67	0.00	3.32	0.40	0.01	0.41	123.46	27.18	3.71	136.49	4.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.55	0.00	0.55	0.10	0.00	0.10	0.20	0.11	0.00	0.00	0.00	0.00	7.00	0.00	7.00	2.60	0.00	0.00	0.00	0.00	4.63	0.00	4.63	0.71	0.00	0.71	5.34	0.00	5.34	0.00	0.11	0.00	0.11	0.20
ID	1985	USGS	16	059	7.50	1.34	3.37	4.71	0.36	0.65	1.01	0.00	0.00	0.00	1.01	0.00	1.01	214.39	0.00	0.00	0.06	0.00	0.06	0.11	0.17	0.00	2.79	0.16	0.42	0.58	207.81	4.71	0.90	191.04	1.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.29	544.67	0.00	552.96	86.80	3.20	90.00	202.78	115.26	0.00	0.00	0.00	0.00	1.00	1.00	2.00	1.23	0.00	0.00	0.00	0.00	8.87	0.00	8.87	545.74	0.00	545.74	554.61	0.00	554.61	0.00	115.26	0.00	115.26	202.78
ID	1985	USGS	16	061	3.80	1.71	1.74	3.45	0.21	0.22	0.43	0.00	0.00	0.00	0.43	0.00	0.43	124.60	0.00	0.00	0.08	0.00	0.08	0.00	0.08	0.00	0.35	0.03	0.03	0.06	170.94	3.45	0.43	124.60	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.12	0.12	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.00	3.00	0.05	0.00	0.00	0.00	0.00	0.32	0.00	0.32	0.37	0.00	0.37	0.69	0.00	0.69	0.00	0.00	0.00	0.00	0.00
ID	1985	USGS	16	063	3.40	1.74	0.00	1.74	0.80	0.00	0.80	0.00	0.00	0.00	0.80	0.00	0.80	459.51	0.00	0.00	0.02	0.00	0.02	0.05	0.07	0.00	1.66	0.80	0.00	0.80	481.64	1.74	0.71	407.81	1.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	85.63	381.06	0.00	466.69	60.00	27.40	87.40	141.88	120.55	0.00	0.00	0.00	0.00	2.00	1.00	3.00	0.03	0.00	0.00	0.00	0.00	87.25	0.00	87.25	381.06	0.00	381.06	468.31	0.00	468.31	0.00	120.55	0.00	120.55	141.88
ID	1985	USGS	16	065	21.80	14.10	0.00	14.10	5.85	0.00	5.85	0.00	0.00	0.00	5.85	0.00	5.85	414.86	0.00	0.00	0.28	0.00	0.28	0.20	0.48	0.00	7.70	3.01	0.00	3.01	390.86	14.10	5.65	400.68	8.66	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	116.10	326.38	0.00	442.48	60.10	52.40	112.50	121.51	124.63	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.76	0.00	0.00	0.00	0.00	125.24	0.00	125.24	326.38	0.00	326.38	451.62	0.00	451.62	0.00	124.64	0.00	124.64	121.51
ID	1985	USGS	16	067	21.20	8.90	0.00	8.90	1.96	0.00	1.96	0.00	0.00	0.00	1.96	0.00	1.96	220.20	0.00	0.00	0.39	0.00	0.39	0.08	0.47	0.00	12.30	2.50	0.00	2.50	203.24	8.90	1.80	202.22	4.30	0.31	0.42	0.00	0.42	0.00	0.00	0.00	0.42	0.00	0.42	0.00	0.08	0.50	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	301.58	456.71	0.00	758.29	69.40	112.20	181.60	170.04	243.96	2550.39	110.60	0.00	0.00	2.00	1.00	3.00	1.94	0.00	0.00	0.00	0.00	306.85	0.00	306.85	456.71	0.00	456.71	763.56	0.00	763.56	0.00	244.29	0.00	244.29	170.04
ID	1985	USGS	16	069	33.40	1.80	29.37	31.17	0.32	4.44	4.76	0.00	0.00	0.00	4.76	0.00	4.76	152.71	0.00	0.00	0.76	0.00	0.76	0.00	0.76	0.00	2.23	0.01	0.30	0.31	138.95	31.17	4.71	151.10	5.02	0.03	0.34	0.00	0.34	24.02	0.00	24.02	24.36	0.00	24.36	0.00	0.05	24.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.05	0.00	15.05	2.00	0.00	2.00	5.60	3.07	0.00	0.00	0.00	0.00	3.00	4.00	7.00	3.25	0.00	0.00	0.00	0.00	1.43	0.00	1.43	43.81	0.00	43.81	45.24	0.00	45.24	0.00	3.10	0.00	3.10	5.60
ID	1985	USGS	16	071	3.50	2.60	0.00	2.60	0.84	0.00	0.84	0.00	0.00	0.00	0.84	0.00	0.84	322.95	0.00	0.00	0.01	0.00	0.01	0.07	0.08	0.00	0.90	0.26	0.00	0.26	288.57	2.60	0.77	296.04	1.03	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	38.10	95.73	0.00	133.83	16.30	15.90	32.20	35.64	38.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	39.21	0.00	39.21	95.73	0.00	95.73	134.94	0.00	134.94	0.00	38.60	0.00	38.60	35.64
ID	1985	USGS	16	073	8.60	3.09	0.24	3.33	0.63	0.03	0.66	0.00	0.00	0.00	0.66	0.00	0.66	198.14	0.00	0.00	0.04	0.00	0.04	0.15	0.19	0.00	5.27	0.78	0.06	0.84	159.36	3.33	0.51	153.11	1.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	81.81	1142.51	0.00	1224.32	148.40	27.40	175.80	425.35	273.98	0.00	0.00	0.00	0.00	2.00	0.00	2.00	0.10	0.00	0.00	0.00	0.00	83.26	0.00	83.26	1142.60	0.00	1142.60	1225.86	0.00	1225.86	0.00	273.98	0.00	273.98	425.35
ID	1985	USGS	16	075	16.10	8.66	0.00	8.66	1.80	0.00	1.80	0.00	0.00	0.00	1.80	0.00	1.80	207.83	0.00	0.00	0.07	0.00	0.07	0.29	0.36	0.00	7.44	1.27	0.00	1.27	170.68	8.66	1.51	174.34	2.78	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.27	490.38	0.00	511.65	65.00	6.80	71.80	182.57	110.67	0.00	0.00	0.00	0.00	3.00	0.00	3.00	1.76	0.00	0.00	0.00	0.00	24.41	0.00	24.41	490.38	0.00	490.38	514.79	0.00	514.79	0.00	110.70	0.00	110.70	182.57
ID	1985	USGS	16	077	7.00	4.06	0.00	4.06	1.93	0.00	1.93	0.00	0.00	0.00	1.93	0.00	1.93	475.25	0.00	0.00	0.15	0.00	0.15	0.00	0.15	0.00	2.94	1.35	0.00	1.35	459.03	4.06	1.93	475.25	3.28	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.33	0.00	12.33	4.93	0.00	0.00	0.00	0.00	12.33	0.00	12.33	4.93	124.62	289.93	0.00	414.55	55.80	52.80	108.60	107.95	121.46	6312.53	536.43	0.00	0.00	2.00	1.00	3.00	0.96	0.00	0.00	0.00	0.00	140.38	0.00	140.38	289.93	0.00	289.93	430.31	0.00	430.31	0.00	126.41	0.00	126.41	107.95
ID	1985	USGS	16	079	16.80	0.76	9.72	10.48	0.56	7.21	7.77	0.00	0.00	0.00	7.77	0.00	7.77	741.34	0.00	0.00	0.37	0.00	0.37	0.00	0.37	0.00	6.32	0.37	4.76	5.13	811.58	10.48	7.77	741.34	12.90	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.99	0.00	11.99	11.99	0.00	11.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.36	0.00	0.20	0.20	0.00	0.18	0.00	0.00	0.00	0.00	6.00	3.00	9.00	5.03	0.00	0.00	0.00	0.00	1.66	0.00	1.66	23.96	0.00	23.96	25.62	0.00	25.62	0.00	0.47	0.00	0.47	0.00
ID	1985	USGS	16	081	3.10	1.75	0.00	1.75	0.14	0.00	0.14	0.00	0.00	0.00	0.14	0.00	0.14	79.95	0.00	0.00	0.07	0.00	0.07	0.00	0.07	0.00	1.35	0.11	0.00	0.11	81.42	1.75	0.14	79.95	0.25	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.50	253.55	0.00	273.05	71.10	13.40	84.50	94.39	61.47	56.80	4.89	0.00	0.00	1.00	0.00	1.00	0.01	0.00	0.00	0.00	0.00	19.82	0.00	19.82	253.55	0.00	253.55	273.37	0.00	273.37	0.00	61.48	0.00	61.48	94.39
ID	1985	USGS	16	083	56.10	34.08	0.00	34.08	17.23	0.00	17.23	0.00	0.00	0.00	17.23	0.00	17.23	505.56	0.00	0.00	0.68	0.00	0.68	0.55	1.23	0.00	22.02	8.70	0.00	8.70	395.08	34.08	13.47	395.23	22.17	0.39	3.37	0.00	3.37	0.59	0.00	0.59	3.96	0.00	3.96	0.00	3.21	7.17	0.22	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	668.68	0.00	668.68	0.00	0.00	0.00	0.00	0.00	668.68	0.00	668.68	0.00	106.95	1858.91	0.00	1965.86	284.00	40.60	324.60	692.08	432.69	7847.56	363.88	0.00	0.00	6.00	19.00	25.00	9.33	0.00	0.00	0.00	0.00	805.61	0.00	805.61	1859.50	0.00	1859.50	2665.11	0.00	2665.11	0.00	433.30	0.00	433.30	692.08
